agents_count,success_count_cbs,time_cbs,flowtime_cbs,makespan_cbs,SIC_cbs,success_count_cbs_ds,time_cbs_ds,flowtime_cbs_ds,makespan_cbs_ds,SIC_cbs_ds,success_count_ecbs_30,time_ecbs_30,flowtime_ecbs_30,makespan_ecbs_30,SIC_ecbs_30,success_count_ecbs_179,time_ecbs_179,flowtime_ecbs_179,makespan_ecbs_179,SIC_ecbs_179
117,True,29.773,24573.0,460.0,460.0,True,29.516,24573.0,460.0,460.0,True,36.219,24573,460,460,True,33.776,24573,460,460
118,True,29.811,24830.0,460.0,460.0,True,29.467,24830.0,460.0,460.0,True,35.17,24830,460,460,True,34.083,24830,460,460
119,True,30.124,25080.0,460.0,460.0,True,29.523,25080.0,460.0,460.0,True,35.606,25080,460,460,True,34.776,25080,460,460
120,True,31.68,25292.0,460.0,460.0,True,30.761,25292.0,460.0,460.0,True,36.904,25292,460,460,True,35.749,25292,460,460
121,True,31.849,25720.0,460.0,460.0,True,30.907,25720.0,460.0,460.0,True,36.58,25720,460,460,True,36.63,25720,460,460
122,True,32.158,26113.0,460.0,460.0,True,31.687,26113.0,460.0,460.0,True,37.436,26113,460,460,True,36.296,26113,460,460
123,True,32.06,26303.0,460.0,460.0,True,30.75,26303.0,460.0,460.0,True,37.179,26303,460,460,True,36.633,26303,460,460
124,True,31.657,26573.0,460.0,460.0,True,31.0,26573.0,460.0,460.0,True,37.406,26573,460,460,True,37.217,26573,460,460
125,True,32.054,26821.0,460.0,460.0,True,31.198,26821.0,460.0,460.0,True,37.627,26821,460,460,True,37.297,26821,460,460
126,True,32.434,27016.0,460.0,460.0,True,32.161,27016.0,460.0,460.0,True,37.383,27016,460,460,True,37.099,27016,460,460
127,True,32.458,27222.0,460.0,460.0,True,31.405,27222.0,460.0,460.0,True,37.693,27222,460,460,True,36.808,27222,460,460
128,True,31.948,27662.0,460.0,460.0,True,31.575,27662.0,460.0,460.0,True,37.602,27662,460,460,True,36.86,27662,460,460
129,True,33.131,27744.0,460.0,460.0,True,32.512,27744.0,460.0,460.0,True,37.234,27745,460,460,True,36.93,27745,460,460
